Método;Entrada;Tempo;Execução;TipoOrdenacao;N
HEAPSORT;o2000;0.00025335;3;Ordenado;2000
MERGESORT;o200000;0.013249;3;Ordenado;200000
QUICKSORT;o200000;0.00329651;3;Ordenado;200000
HEAPSORT;o200000;0.0351435;3;Ordenado;200000
MERGESORT;o2000000;0.136424;3;Ordenado;2000000
QUICKSORT;o2000000;0.0392096;3;Ordenado;2000000
HEAPSORT;o2000000;0.38164;3;Ordenado;2000000
MERGESORT;o30000;0.0016005;3;Ordenado;30000
QUICKSORT;o30000;0.000741451;3;Ordenado;30000
HEAPSORT;o30000;0.00479529;3;Ordenado;30000
MERGESORT;o500;2.4871e-05;3;Ordenado;500
QUICKSORT;o500;8.123e-06;3;Ordenado;500
HEAPSORT;o500;5.2771e-05;3;Ordenado;500
MERGESORT;o5000;0.000262392;3;Ordenado;5000
QUICKSORT;o5000;0.000108367;3;Ordenado;5000
HEAPSORT;o5000;0.000770328;3;Ordenado;5000
MERGESORT;o50000;0.00293699;3;Ordenado;50000
QUICKSORT;o50000;0.00110886;3;Ordenado;50000
HEAPSORT;o50000;0.00855839;3;Ordenado;50000
MERGESORT;o500000;0.0331326;3;Ordenado;500000
QUICKSORT;o500000;0.00962706;3;Ordenado;500000
HEAPSORT;o500000;0.0899665;3;Ordenado;500000
MERGESORT;o7500;0.000391087;3;Ordenado;7500
QUICKSORT;o7500;0.000178885;3;Ordenado;7500
HEAPSORT;o7500;0.00109576;3;Ordenado;7500
MERGESORT;o75000;0.00453658;3;Ordenado;75000
QUICKSORT;o75000;0.00169133;3;Ordenado;75000
HEAPSORT;o75000;0.0139916;3;Ordenado;75000
MERGESORT;o750000;0.0492975;3;Ordenado;750000
QUICKSORT;o750000;0.014513;3;Ordenado;750000
HEAPSORT;o750000;0.134304;3;Ordenado;750000
MERGESORT;o100;1.0622e-05;4;Ordenado;100
QUICKSORT;o100;1.965e-06;4;Ordenado;100
HEAPSORT;o100;8.097e-06;4;Ordenado;100
MERGESORT;o1000;4.9212e-05;4;Ordenado;1000
QUICKSORT;o1000;1.6777e-05;4;Ordenado;1000
HEAPSORT;o1000;0.000114685;4;Ordenado;1000
MERGESORT;o10000;0.000549716;4;Ordenado;10000
QUICKSORT;o10000;0.000245056;4;Ordenado;10000
HEAPSORT;o10000;0.00157132;4;Ordenado;10000
MERGESORT;o100000;0.00728291;4;Ordenado;100000
QUICKSORT;o100000;0.00180811;4;Ordenado;100000
HEAPSORT;o100000;0.0177592;4;Ordenado;100000
MERGESORT;o1000000;0.0677225;4;Ordenado;1000000
QUICKSORT;o1000000;0.0186819;4;Ordenado;1000000
HEAPSORT;o1000000;0.185692;4;Ordenado;1000000
MERGESORT;o1250000;0.0852267;4;Ordenado;1250000
QUICKSORT;o1250000;0.0229308;4;Ordenado;1250000
HEAPSORT;o1250000;0.235404;4;Ordenado;1250000
MERGESORT;o15000;0.000833406;4;Ordenado;15000
QUICKSORT;o15000;0.000372324;4;Ordenado;15000
HEAPSORT;o15000;0.00235047;4;Ordenado;15000
MERGESORT;o1500000;0.104205;4;Ordenado;1500000
QUICKSORT;o1500000;0.0304061;4;Ordenado;1500000
HEAPSORT;o1500000;0.28085;4;Ordenado;1500000
MERGESORT;o200;9.903e-06;4;Ordenado;200
QUICKSORT;o200;3.296e-06;4;Ordenado;200
HEAPSORT;o200;1.7621e-05;4;Ordenado;200
MERGESORT;o2000;9.8215e-05;4;Ordenado;2000
QUICKSORT;o2000;3.6795e-05;4;Ordenado;2000
HEAPSORT;o2000;0.000253398;4;Ordenado;2000
MERGESORT;o200000;0.012878;4;Ordenado;200000
QUICKSORT;o200000;0.00448126;4;Ordenado;200000
HEAPSORT;o200000;0.0352041;4;Ordenado;200000
MERGESORT;o2000000;0.139667;4;Ordenado;2000000
QUICKSORT;o2000000;0.0374063;4;Ordenado;2000000
HEAPSORT;o2000000;0.382843;4;Ordenado;2000000
MERGESORT;o30000;0.00168724;4;Ordenado;30000
QUICKSORT;o30000;0.000669511;4;Ordenado;30000
HEAPSORT;o30000;0.0053678;4;Ordenado;30000
MERGESORT;o500;2.4016e-05;4;Ordenado;500
QUICKSORT;o500;7.865e-06;4;Ordenado;500
HEAPSORT;o500;5.1252e-05;4;Ordenado;500
MERGESORT;o5000;0.00024804;4;Ordenado;5000
QUICKSORT;o5000;0.000108138;4;Ordenado;5000
HEAPSORT;o5000;0.000705885;4;Ordenado;5000
MERGESORT;o50000;0.00276488;4;Ordenado;50000
QUICKSORT;o50000;0.00109135;4;Ordenado;50000
HEAPSORT;o50000;0.00861625;4;Ordenado;50000
MERGESORT;o500000;0.0326739;4;Ordenado;500000
