Método;Entrada;Tempo;Execução
MERGESORT;po500;2.9236e-05;1
QUICKSORT;po500;1.1397e-05;1
HEAPSORT;po500;5.2381e-05;1
MERGESORT;po5000;0.000265798;1
QUICKSORT;po5000;0.000119021;1
HEAPSORT;po5000;0.000783085;1
MERGESORT;po50000;0.00284169;1
QUICKSORT;po50000;0.00109344;1
HEAPSORT;po50000;0.00907258;1
MERGESORT;po500000;0.0328894;1
QUICKSORT;po500000;0.00949988;1
HEAPSORT;po500000;0.0889614;1
MERGESORT;po7500;0.000412745;1
QUICKSORT;po7500;0.000167262;1
HEAPSORT;po7500;0.0010809;1
MERGESORT;po75000;0.00449622;1
QUICKSORT;po75000;0.00126182;1
HEAPSORT;po75000;0.0128206;1
MERGESORT;po750000;0.0484258;1
QUICKSORT;po750000;0.0140101;1
HEAPSORT;po750000;0.13656;1
MERGESORT;a100;8.632e-06;2
QUICKSORT;a100;5.759e-06;2
HEAPSORT;a100;8.116e-06;2
MERGESORT;a1000;9.1322e-05;2
QUICKSORT;a1000;5.6627e-05;2
HEAPSORT;a1000;0.000126579;2
MERGESORT;a10000;0.00105161;2
QUICKSORT;a10000;0.000844749;2
HEAPSORT;a10000;0.00177114;2
MERGESORT;a100000;0.0120169;2
QUICKSORT;a100000;0.00692195;2
HEAPSORT;a100000;0.022415;2
MERGESORT;a1000000;0.127391;2
QUICKSORT;a1000000;0.0660816;2
HEAPSORT;a1000000;0.258393;2
MERGESORT;a1250000;0.162195;2
QUICKSORT;a1250000;0.0852567;2
HEAPSORT;a1250000;0.339521;2
MERGESORT;a15000;0.00160921;2
QUICKSORT;a15000;0.00108465;2
HEAPSORT;a15000;0.00288387;2
MERGESORT;a1500000;0.195269;2
QUICKSORT;a1500000;0.103563;2
HEAPSORT;a1500000;0.406263;2
MERGESORT;a200;1.6864e-05;2
QUICKSORT;a200;1.0163e-05;2
HEAPSORT;a200;1.7972e-05;2
MERGESORT;a2000;0.000186303;2
QUICKSORT;a2000;0.000144381;2
HEAPSORT;a2000;0.000282505;2
MERGESORT;a200000;0.0247708;2
QUICKSORT;a200000;0.014402;2
HEAPSORT;a200000;0.0465508;2
MERGESORT;a2000000;0.260702;2
QUICKSORT;a2000000;0.132056;2
HEAPSORT;a2000000;0.542467;2
MERGESORT;a30000;0.00350155;2
QUICKSORT;a30000;0.00232667;2
HEAPSORT;a30000;0.00629849;2
MERGESORT;a500;4.2847e-05;2
QUICKSORT;a500;2.8362e-05;2
HEAPSORT;a500;8.7412e-05;2
MERGESORT;a5000;0.000502789;2
QUICKSORT;a5000;0.000484497;2
HEAPSORT;a5000;0.000806353;2
MERGESORT;a50000;0.0057245;2
QUICKSORT;a50000;0.00388353;2
HEAPSORT;a50000;0.0108769;2
MERGESORT;a500000;0.0639208;2
QUICKSORT;a500000;0.0361762;2
HEAPSORT;a500000;0.126075;2
MERGESORT;a7500;0.000798385;2
QUICKSORT;a7500;0.000572038;2
HEAPSORT;a7500;0.00126338;2
MERGESORT;a75000;0.00884871;2
QUICKSORT;a75000;0.00549941;2
HEAPSORT;a75000;0.0161758;2
MERGESORT;a750000;0.095905;2
QUICKSORT;a750000;0.0507475;2
HEAPSORT;a750000;0.193639;2
MERGESORT;d100;5.713e-06;2
QUICKSORT;d100;1.657e-06;2
HEAPSORT;d100;6.367e-06;2
MERGESORT;d1000;5.0036e-05;2
QUICKSORT;d1000;1.7472e-05;2
HEAPSORT;d1000;0.000108845;2
MERGESORT;d10000;0.000598943;2
QUICKSORT;d10000;0.000175199;2
HEAPSORT;d10000;0.00144758;2
MERGESORT;d100000;0.00623538;2
QUICKSORT;d100000;0.0019785;2
HEAPSORT;d100000;0.0174203;2
MERGESORT;d1000000;0.0689639;2
QUICKSORT;d1000000;0.0195131;2
HEAPSORT;d1000000;0.195399;2
MERGESORT;d1250000;0.088552;2
QUICKSORT;d1250000;0.0251648;2
HEAPSORT;d1250000;0.247059;2
MERGESORT;d15000;0.000914746;2
QUICKSORT;d15000;0.000367935;2
HEAPSORT;d15000;0.00226304;2
MERGESORT;d1500000;0.102778;2
QUICKSORT;d1500000;0.0313211;2
HEAPSORT;d1500000;0.300925;2
MERGESORT;d200;1.0501e-05;2
QUICKSORT;d200;3.51e-06;2
HEAPSORT;d200;1.5957e-05;2
MERGESORT;d2000;0.000121954;2
QUICKSORT;d2000;3.6918e-05;2
HEAPSORT;d2000;0.000231518;2
MERGESORT;d200000;0.0138896;2
QUICKSORT;d200000;0.00390335;2
HEAPSORT;d200000;0.035739;2
MERGESORT;d2000000;0.139448;2
QUICKSORT;d2000000;0.0410134;2
HEAPSORT;d2000000;0.407129;2
MERGESORT;d30000;0.00182791;2
QUICKSORT;d30000;0.000672584;2
HEAPSORT;d30000;0.00560259;2
MERGESORT;d500;2.4312e-05;2
QUICKSORT;d500;7.721e-06;2
HEAPSORT;d500;4.8105e-05;2
MERGESORT;d5000;0.000284517;2
QUICKSORT;d5000;0.000103089;2
HEAPSORT;d5000;0.00062309;2
MERGESORT;d50000;0.00323999;2
QUICKSORT;d50000;0.000790203;2
HEAPSORT;d50000;0.00813135;2
MERGESORT;d500000;0.0331235;2
QUICKSORT;d500000;0.00836154;2
HEAPSORT;d500000;0.0934757;2
MERGESORT;d7500;0.000463665;2
QUICKSORT;d7500;0.000125149;2
HEAPSORT;d7500;0.00102715;2
MERGESORT;d75000;0.00465333;2
QUICKSORT;d75000;0.00115919;2
HEAPSORT;d75000;0.0124256;2
MERGESORT;d750000;0.0496701;2
QUICKSORT;d750000;0.0138223;2
HEAPSORT;d750000;0.149364;2
MERGESORT;o100;5.809e-06;2
QUICKSORT;o100;2.096e-06;2
HEAPSORT;o100;7.975e-06;2
MERGESORT;o1000;4.7715e-05;2
QUICKSORT;o1000;1.7828e-05;2
HEAPSORT;o1000;0.000115005;2
MERGESORT;o10000;0.000584439;2
QUICKSORT;o10000;0.000207863;2
HEAPSORT;o10000;0.00148558;2
MERGESORT;o100000;0.00614026;2
QUICKSORT;o100000;0.00219039;2
HEAPSORT;o100000;0.017738;2
MERGESORT;o1000000;0.0678083;2
QUICKSORT;o1000000;0.0178066;2
HEAPSORT;o1000000;0.183897;2
MERGESORT;o1250000;0.0886347;2
QUICKSORT;o1250000;0.0225793;2
HEAPSORT;o1250000;0.236245;2
MERGESORT;o15000;0.000809373;2
QUICKSORT;o15000;0.000373992;2
HEAPSORT;o15000;0.00230416;2
MERGESORT;o1500000;0.101373;2
